Hospital Name,Summary
"Lotus Mch","Lotus Mch is a hot priority facility located in Garment. They currently use Finecare for hormone testing, Mindray for chemistry, and B&E for electrolyte analysis. The facility has an estimated patient load of 10–20 tests/day and requires SST, EDTA tubes. Current opportunity: Interested in reagent placement; requested comparative analysis. Continued follow-up with Head Lab Technician, Medical Director is recommended to advance the opportunity."
"Novamed Clinic","Novamed Clinic is a hot priority facility located in goro. They currently use Finecare for hormone testing, none for chemistry, and Interested in B&E Electrolyte for electrolyte analysis. The facility has an estimated patient load of 10–15 tests/day and requires SST, EDTA tubes. Current opportunity: Interested in electrolyte analyzer. Continued follow-up with Zeaman (Laboratory Head) is recommended to advance the opportunity."
"Ajora Mch","Ajora Mch is a hot priority facility located in summit. They currently use finecare for hormone testing, siesmen semiautomatic for chemistry, and B&E for electrolyte analysis. The facility has an estimated patient load of 10–20 tests/day and requires SST, EDTA tubes. Current opportunity: Interested in Accree placement. Continued follow-up with Tina (Laboratory Head) is recommended to advance the opportunity."
"Yadon Clinic","Yadon Clinic is a hot priority facility located in ayat. They currently use Finecare for hormone testing, none for chemistry, and semi automated un specified analyzer for electrolyte analysis. The facility has an estimated patient load of >10 tests/day and requires SST, EDTA tubes. Current opportunity: Proposal under stakeholder review. Continued follow-up with Owner, Head Lab Technician is recommended to advance the opportunity."
"Hewan Gynecology Specialized Clinic","Hewan Gynecology Specialized Clinic is a hot priority facility located in jemo. They currently use none for hormone testing, semi-automated dirui for chemistry, and None for electrolyte analysis. The facility has an estimated patient load of 10–15 tests/day and requires SST, EDTA tubes. Current opportunity: Planning to purchase hormone analyzer. Continued follow-up with Medical Director/Owner is recommended to advance the opportunity."
"Yerer General Hospital","Yerer General Hospital is a hot priority facility located in yerer. They currently use Finecare, Zybio, Maglumi for hormone testing, Mindray for chemistry, and fully automated un specified anlyzer for electrolyte analysis. The facility has an estimated patient load of >20 tests/day and requires SST, EDTA tubes. Current opportunity: Considering ACCRE as an additional analyzer. Continued follow-up with Head Lab Technician is recommended to advance the opportunity."
"St. Mary Medium Clinic","St. Mary Medium Clinic is a hot priority facility located in goro. They currently use none for hormone testing, semi automated for chemistry, and CBS 401 B&E for electrolyte analysis. The facility has an estimated patient load of 10–15 tests/day and requires SST, EDTA tubes. Current opportunity: Evaluating installation of hormone analyzer. Continued follow-up with Medical Director is recommended to advance the opportunity."
"Tersis Clinics","Tersis Clinics is a hot priority facility located in lamberet. They currently use vidas for hormone testing, semi automated for chemistry, and semi automated un specified analyzer for electrolyte analysis. The facility has an estimated patient load of 5 tests/day and requires SST, EDTA tubes. Current opportunity: Strong interest and expansion potential. Continued follow-up with Liyu Tersis Clinic Lab is recommended to advance the opportunity."
"Gfb Specialized Clinic","Gfb Specialized Clinic is a hot priority facility located in ayat. They currently use fine care for hormone testing, semi automated for chemistry, and semi automated un specified analyzer for electrolyte analysis. The facility has an estimated patient load of 2_5 tests/day and requires SST, EDTA tubes. Current opportunity: Good potential. Continued follow-up with Laboratory Professionals is recommended to advance the opportunity."
"Betsegah Mch","Betsegah Mch is a hot priority facility located in gurdshola. They currently use finecare,Maglumi for hormone testing, semi automated for chemistry, and Potential for B&E for electrolyte analysis. The facility has an estimated patient load of >20 tests/day and requires SST, EDTA tubes. Current opportunity: Awaiting management feedback. Continued follow-up with Head Purchaser is recommended to advance the opportunity."
