hospitalName,summary
Lotus MCH,"Hot priority facility in Garment. Uses Finecare (hormone), Mindray (chemistry), B&E (electrolyte). 10-20 tests/day. Interested in reagent placement; requested comparative analysis. Follow-up with Head Lab Technician, Medical Director."
Novamed Clinic,"Hot priority facility in Goro. Uses Finecare (hormone), no chemistry analyzer, interested in B&E electrolyte. 10-15 tests/day. Interested in electrolyte analyzer. Follow-up with Zeaman (Laboratory Head)."
Ajora MCH,"Hot priority facility in Summit. Uses Finecare (hormone), Siemens semiautomatic (chemistry), B&E (electrolyte). 10-20 tests/day. Interested in ACCRE placement. Follow-up with Tina (Laboratory Head)."
Yadon Clinic,"Hot priority facility in Ayat. Uses Finecare (hormone), no chemistry analyzer, semi-automated unspecified (electrolyte). >10 tests/day. Proposal under stakeholder review. Follow-up with Owner, Head Lab Technician."
Hewan Gynecology Specialized Clinic,"Hot priority facility in Jemo. No hormone analyzer, semi-automated Dirui (chemistry), no electrolyte analyzer. 10-15 tests/day. Planning to purchase hormone analyzer. Follow-up with Medical Director/Owner."
Yerer General Hospital,"Hot priority facility in Yerer. Uses Finecare, Zybio, Maglumi (hormone), Mindray (chemistry), fully automated unspecified (electrolyte). >20 tests/day. Considering ACCRE as additional analyzer. Follow-up with Head Lab Technician."
St. Mary Medium Clinic,"Hot priority facility in Goro. No hormone analyzer, semi-automated (chemistry), CBS 401 B&E (electrolyte). 10-15 tests/day. Evaluating installation of hormone analyzer. Follow-up with Medical Director."
Tersis Clinics,"Hot priority facility in Lamberet. Uses Vidas (hormone), semi-automated (chemistry), semi-automated unspecified (electrolyte). 5 tests/day. Strong interest and expansion potential. Follow-up with Liyu/Besa Tersis Clinic Lab."
GFB Specialized Clinic,"Hot priority facility in Ayat. Uses Finecare (hormone), semi-automated (chemistry), semi-automated unspecified (electrolyte). 2-5 tests/day. Good potential. Follow-up with Laboratory Professionals."
Betsegah MCH,"Hot priority facility in Gurdshola. Uses Finecare, Maglumi (hormone), semi-automated (chemistry), potential for B&E (electrolyte). >20 tests/day. Awaiting management feedback. Follow-up with Head Purchaser."
Abebech Gobena MCH,"Hot priority facility in Ayat Tsehel. Not specified (hormone), Siemens semiautomatic (chemistry), CBS 50 (electrolyte). 15-20 tests/day. Strong interest in placement model. Follow-up with Dani (Laboratory Head)."
Ethiocare Medical Center,"Warm priority facility in Garment. Uses Mindray CLIA inactive (hormone), semi-automated (chemistry), Edgelyt 3 (electrolyte). 5-10 tests/day. Evaluating chemistry analyzer suppliers. Follow-up with Purchasing Officer."
Mary Clinic,"Warm priority facility. No hormone analyzer, semi-automated (chemistry), potential for B&E (electrolyte). 5-10 tests/day. Planning to buy hormone analyzer next year. Follow-up with Head Lab Technician, Owner."
Fikreselam General Hospital,"Warm priority facility in CMC. Not specified (hormone), fully automated (chemistry), not specified (electrolyte). 10-15 tests/day. Follow-up meeting scheduled. Follow-up with Head Lab Technician."
EBM Specialty Clinic,"Warm priority facility in Ayat. Uses Finecare, BiG (hormone), semi-automated (chemistry), B&E (electrolyte). 3-5 tests/day. Considering analyzer upgrade. Follow-up with Abebe (Laboratory Head)."
Dr. Yared Pediatric Clinic,"Warm priority facility in Horo. Uses Finecare (hormone), semi-automated (chemistry), B&E (electrolyte). Patient load under evaluation. Will consider as patient flow increases. Follow-up with Elias Lab."
AG Kovamed Clinic,"Warm priority facility. Uses Finecare (hormone), not specified (chemistry/electrolyte). Low patient load. Interested in electrolyte analyzer. Follow-up with Head of Laboratory."
Agar Specialized Clinic,"Warm priority facility in Ayat. Uses Finecare (hormone), no chemistry, potential for B&E (electrolyte). 5-10 tests/day. Interested in ACCRE analyzer. Follow-up with Dr. Eyasu."
Rubira Medical Center,"Cold priority facility in Summit. Uses Zybio (hormone), not specified (chemistry/electrolyte). 3-5 tests/day. Satisfied with current analyzer. Follow-up with Laboratory Technician."
Kidist Selamihret Clinic,"Cold priority facility in Summit. No hormone analyzer, not specified (chemistry/electrolyte). <5 tests/day. Low patient flow. Follow-up with Head Lab Technician."
Cheza Medium Clinic,"Cold priority facility in Wossen. Uses Finecare (hormone), not specified (chemistry/electrolyte). ~2 tests/day. Already decided on Finecare. Follow-up with Owner."
Lancet Internal Medical Center,"Cold priority facility in Megenagna. Uses Maglumi, Finecare (hormone), not specified (chemistry/electrolyte). <5 tests/day. Low patient volume. Follow-up with Head Nurse, Lab Technician."
Dr. Saba Clinic,"Cold priority facility in Ajora. Uses Finecare (hormone), Conas (chemistry), no electrolyte. <5 tests/day. No interest in additional analyzer. Follow-up with Laboratory Staff."
Enat Clinic,"Cold priority facility in Megenagna. Uses Finecare (hormone), Siemens (chemistry), no electrolyte. <5 tests/day. Financial constraints. Follow-up with Enat Clinic Owners."
Eldana Clinic,"Cold priority facility in Megenagna. Uses Zybio (hormone), Mindray (chemistry), B&E (electrolyte). 10-20 tests/day. Recently purchased Zybio. Follow-up with Medical Director."
Dr. Asaye Clinic,"Cold priority facility in Summit. Uses Finecare (hormone), no chemistry/electrolyte. <5 tests/day. Satisfied with current setup. Follow-up with Laboratory Professional."
Care Plus Addis Clinic,"Cold priority facility in Gurdshola. Uses VIDAS (hormone), not specified (chemistry/electrolyte). 0-3 tests/day. Low patient flow and infrastructure challenges. Follow-up with Head Lab, Medical Director."
Doctors Alliance General Hospital,"Currently reorganizing the laboratory. May purchase a backup hormone analyzer after the new setup is completed."
Elite ENT Center,"Interested in upgrading from Fincare to CLIA technology. Proposal is under review by management; further discussion with owners is needed."
Chechela Internal Medicine & Specialty Clinic,"Interested in ACCRE. Laboratory head is evaluating the machine's quality and reagent availability before making a decision."
Vision Specialty Clinic,"Laboratory head showed strong interest and is discussing the ACCRE machine with the owners."
Grace MCH & Surgical Center,"Initially interested because of concerns about Fincare accuracy, but later signed an agreement with another supplier."
Aynalem Primary Hospital,"Planning to become a general hospital within 1-2 months and is considering replacing Fincare with ACCRE."
Bama MCH Center,"No need for another hormone analyzer but interested in a fully automated chemistry analyzer."
Semah MCH Center,"Already has an ACCRE machine at another branch. Interested only in a chemistry analyzer."
Sintayehu Medium Clinic,"No hormone analyzer requirement, but interested in the BC-200 fully automated chemistry analyzer."
Migbaresenay General Hospital,"Representative interested in ACCRE. Waiting for the medical director to return for further discussion."
Medlot Medium Clinic,"Planning a laboratory upgrade in about 3 months and will consider ACCRE."
Lancet Beherawi Internal Medicine & Surgical Center,"Satisfied with current equipment but may refer another customer interested in a hormone analyzer."
International Clinical Laboratory,"Hormone testing is done at another branch. Contact information for the main branch was provided."
Wuddasse Diagnostic Center,"Interested in ACCRE's dry-method technology but currently has enough analyzers."
Dr. Amero Internal Medicine Specialty Clinic,"Patient flow is low. Will contact us if testing volume increases and another analyzer is needed."
St. Gabriel General Hospital,"No interest in purchasing ACCRE after follow-up."
Afran General Hospital,"Satisfied with the current Snibe analyzer and has no interest in another hormone analyzer."
Betseda American Medical Plaza,"Uses Mindray equipment throughout the laboratory and prefers to continue with the same brand."
Healventure Internal Medicine & Surgical Center,"Uses Snibe and Mindray. Requested a meeting with the lab head initially, but later confirmed no interest in another hormone analyzer."
Toz Specialty Clinic,"No current interest in purchasing ACCRE."
Lucy Multi Specialty Center,"Already owns an ACCRE machine but prefers Snibe and wants to sell the ACCRE analyzer."
Tezena General Hospital,"Satisfied with Darway and Fincare hormone analyzers; no plans to replace them."
Alpha Cardiac & Medical Center,"Satisfied with Fincare and has no interest in another hormone analyzer."
Dr. Teshome Pediatric Clinic,"Already has Fincare and Zybio analyzers; no need for another hormone analyzer."
Zak Internal Medicine Specialty Clinic,"Owner confirmed no interest in purchasing an additional hormone analyzer."
Adera Internal Medicine & Specialty Clinic,"Currently uses iFlash and Fincare. No current need but will contact us if a future need arises."
Mekrez Hospital,"Recently purchased a Zybio hormone analyzer."
Ayertena Primary Hospital,"Fully equipped with laboratory equipment; will contact us if future needs arise."
Mercy Care Health Center,"No interest in a hormone analyzer but needs to replace its chemistry analyzer."
Medstar Specialty Clinic,"Uses Fincare and Snibe. Interested in discussing ACCRE further with the lab head and owners."
BMY Diagnostic Center,"Initial visit postponed because the lab head was unavailable. Revisit completed with key decision-makers."
Ethiopian Care MCH Center,"Revisited and discussed products with decision-makers for further evaluation."
Cure Children Orthopedic Center,"Revisited to discuss products with the responsible personnel."
Bemmet Medium Clinic,"Revisited and discussed products with key decision-makers."
Addis MCH Center,"Has concerns about ACCRE reagent pricing compared with Fincare but will consider it for future purchase."
Life Addis Clinic,"Planning to relocate in about two months and will reconsider purchasing after relocation."
Addis Hiwot General Hospital,"Uses Maglumi and has sufficient hormone analyzer capacity; no interest in ACCRE."
St. Lukas Specialty Clinic,"Uses Fincare with low hormone test volume. Will consider ACCRE in the future if demand increases."
St. Rufael Medium Clinic,"Doctor will discuss the ACCRE proposal with the owners before making a decision."
Yohoo Internal & MCH Center,"Recently purchased another hormone analyzer and has no interest in ACCRE."
Zack Internal Specialty Clinic,"Uses Fincare with 10-20 hormone tests per day. Owner will discuss ACCRE after returning from abroad, but later indicated no current interest in an additional analyzer."
Wudase Laboratory,"High-volume laboratory. Potential customer requiring a high-throughput hormone analyzer and consistent reagent supply."
